American,Chinese,French,Indian,Italian,Japanese,Korean,Mediterranean,Mexican,Spanish,Thai,Vietnamese
slow,bland,cold,bland,cold,slow,bland,cold,bland,cold,sweet,bland
cold,expensive,slow,cold,slow,expensive,expensive,slow,cold,bland,bland,slow
hard,hard,bland,slow,bland,bland,slow,bland,slow,slow,greasy,hard
expensive,greasy,hard,expensive,wrong,hard,cold,hard,expensive,overpriced,wrong,greasy
overpriced,cold,expensive,hard,hard,wrong,overpriced,expensive,wrong,expensive,cold,sweet
bland,sour,overpriced,wrong,expensive,cold,tough,wrong,hard,lacking,sour,wrong
loud,slow,tough,sweet,overpriced,overpriced,weird,overpriced,overpriced,problem,expensive,lacking
wrong,mediocre,enough,overpriced,loud,weird,frozen,rude,loud,issue,slow,expensive
greasy,rude,lacking,lacking,rude,lacking,lacking,greasy,sour,lack,hard,weird
problem,sweet,limited,poor,poor,poor,wrong,poor,rude,wrong,tough,tough
