word,score,frequency,polarity
abnormal,0.4964098406927753,13,1.58474710632125e-05
abolish,0.025083725094374495,2,1.2319646915940964e-07
abominable,-0.2567477604676831,9,-5.674471333838754e-06
abominably,0.0,0,0.0
abomination,-0.3049616096778874,10,-7.4889581591514895e-06
abort,-0.3834435540340666,0,-0.0
aborted,-0.0573610018441293,2,-2.817234229786688e-07
abound,-0.06988518217683067,66,-1.1326748827206326e-05
abounds,-0.0030989223398851795,11,-8.37104373334405e-08
abrasive,-0.3851096831145664,15,-1.4185737869966715e-05
abrupt,-0.5268193139103204,19,-2.4580545815591487e-05
abruptly,-0.42572988957519026,17,-1.7772940885719422e-05
absence,0.13751122309077973,70,2.363809195720831e-05
absentee,-0.4647050613205471,2,-2.2823572870377913e-06
absurd,-0.3225524977353915,102,-8.079357285220322e-05
absurdity,-0.8851093313102542,1,-2.173567602642963e-06
absurdly,-0.21181197038650892,61,-3.172901340465612e-05
abundance,-0.008694799813178717,172,-3.672520825280845e-06
abundant,-0.009559921551182857,185,-4.343124607317581e-06
abuse,0.10739928199507835,32,8.439711267616633e-06
abused,0.0780057831219527,10,1.9155920858011787e-06
abuses,0.40068755757842356,1,9.839705255907163e-07
abusive,0.1566412702127397,8,3.0773182758540765e-06
abysmal,-0.5457072008015731,30,-4.020288060127253e-05
abysmally,-0.6419937141703193,0,-0.0
abyss,-0.28404091858357833,4,-2.7900830625942397e-06
accessable,0.1943292958042403,9,4.294939189956565e-06
accessible,0.031200339200859885,491,3.7619848354363674e-05
accidental,0.15267280519518833,28,1.0497743318554753e-05
acclaim,-0.039361223615614144,12,-1.1599147462332422e-06
acclaimed,-0.3166918243133593,20,-1.5554035303874333e-05
accolade,-0.19882776393645651,6,-2.92957426327306e-06
accolades,-0.15852185829200605,51,-1.9853430676405113e-05
accommodative,-0.022059604802086907,4,-2.1668754640263161e-07
accomplish,0.008355553281937607,33,6.771196009575802e-07
accomplished,-0.2191721464403621,51,-2.744933135679792e-05
accomplishment,0.03513824820404228,26,2.2435186653367367e-06
accomplishments,1.2361909047940645,10,3.035720454290889e-05
accost,-0.36298960819179316,1,-8.913954746062722e-07
accurate,-0.024893951372688433,324,-1.9806834828655752e-05
accurately,-0.03546915042023702,87,-7.577854662919147e-06
accursed,0.0,1,0.0
accusation,-0.7377111821858832,0,-0.0
accusations,0.02516485787074682,5,3.0898736380961927e-07
