word,score,frequency,polarity
abnormal,-0.5681450194061824,2,-1.0300879691889809e-05
abominable,-0.05109536376219407,0,-0.0
abomination,-0.1997600829769527,3,-5.43269194933241e-06
abort,-0.22836706494481085,0,-0.0
aborted,0.9244129134018757,1,8.380137008447789e-06
abound,0.5215445921983498,20,9.455980277370136e-05
abounds,0.23130928938587014,4,8.387609079353464e-06
abrasive,-0.3417171161845551,7,-2.1684523735761815e-05
abrupt,0.07096457347632724,34,2.1872862824722385e-05
abruptly,-0.26545756785648844,3,-7.219406251196313e-06
absence,0.018728734000294456,12,2.037392874658086e-06
absentee,1.6462359627992627,3,4.477117113949586e-05
absurd,-0.12303727102684348,16,-1.7846036954306007e-05
absurdity,0.0,0,0.0
absurdly,0.03172884871855239,12,3.4516017099322697e-06
abundance,-0.08460269265654188,67,-5.1385916127171666e-05
abundant,0.18966313575601285,72,0.00012379426864684003
abuse,-0.055319236164222,10,-5.0148886015974976e-06
abused,-0.6123906967987508,1,-5.5515428954650605e-06
abuses,-1.0248656071077848,0,-0.0
abusive,0.09626895782982908,3,2.618138641007046e-06
abysmal,-1.4014989757989098,2,-2.5410189027266972e-05
abysmally,-0.15827268579807968,0,-0.0
abyss,-0.8460019377738346,0,-0.0
accessible,-0.036594396447513035,126,-4.1799419385247414e-05
accidental,0.18185683279526266,10,1.6485978859148098e-05
acclaim,0.36610808843176723,2,6.637804159763707e-06
acclaimed,0.36400966397080803,4,1.319951641631069e-05
acclamation,0.7822650746361817,1,7.091515498469601e-06
accolade,0.0,0,0.0
accolades,-0.17066601554318644,6,-9.282894508740083e-06
accomplish,0.25077941496220596,10,2.2734059918611728e-05
accomplished,-0.5562898491729507,5,-2.5214842225226663e-05
accomplishment,0.9101983758100589,1,8.251277090110225e-06
accomplishments,0.90108127123722,2,1.633725448712211e-05
accost,0.17127219223381782,1,1.5526442954747332e-06
accurate,0.04241598085209315,135,5.1909685568240185e-05
accurately,0.09048419051936907,25,2.0506796872307378e-05
accursed,-0.23475460465036085,0,-0.0
accusation,0.0,0,0.0
accusations,-0.16894564853632887,1,-1.5315533363822761e-06
accuse,-0.40873770952800137,0,-0.0
accuses,-0.3385379507795745,0,-0.0
accusing,-0.3620037357279742,2,-6.5633892798109725e-06
accusingly,0.9903023290638135,1,8.977448364280786e-06
acerbically,0.0,0,0.0
ache,-0.27494947610808984,18,-4.4865293898518876e-05
ached,-0.1997540673623621,0,-0.0
aches,-0.42830028667972353,5,-1.9413484121100696e-05
achievable,0.0,0,0.0
achievement,-0.17354888453322073,2,-3.1465666672689825e-06
aching,-0.19062773526166077,4,-6.912437141207897e-06
acrid,-0.18349523814643984,2,-3.326901244609552e-06
acumen,0.3021465122060242,2,5.478134569957831e-06
adamant,-0.26463841344713085,2,-4.798085639509217e-06
adamantly,0.4859080735599527,1,4.4049322233700726e-06
adaptable,0.07371304102962717,2,1.3364706922242257e-06
addict,0.2501957785544126,23,5.216664769061273e-05
addicted,0.5400478546421515,148,0.0007245678767748929
addicting,0.47986995718103787,128,0.0005568248981884946
addicts,-0.30231198435191925,4,-1.0962269399036144e-05
adequate,-0.19481243380359145,89,-0.00015717801295004658
adjustable,0.15886305815941487,1,1.4401510122329334e-06
admirable,-0.668224329383575,4,-2.4230779780022664e-05
admirably,0.0,1,0.0
admiration,-0.9745128665068451,1,-8.83431118218516e-06
admire,-0.20757074958873611,15,-2.8225557463793326e-05
admirer,0.50618310966002,1,4.588732750068171e-06
admiring,0.2735472262334523,5,1.2399022130063106e-05
adorable,0.1875585168960537,92,0.0001564262855084484
adore,0.12352444213293778,49,5.4869890893971096e-05
adored,0.7798238517958874,12,8.483261917823088e-05
adulterated,-0.5664830231059471,0,-0.0
advanced,0.20696724815700726,34,6.379191766239005e-05
advantage,-0.0055217255148518486,117,-5.8566030753119955e-06
advantageous,0.0611219336101882,2,1.1081848175176901e-06
advantageously,-0.4119873393793236,0,-0.0
advantages,-0.19401483616256537,6,-1.0552887471447669e-05
adventuresome,-0.14810707200287412,6,-8.05586467244352e-06
adventurous,0.10115443204564095,381,0.0003493775596898667
adversarial,0.0,0,0.0
adverse,0.28458395586415663,5,1.2899281835924063e-05
advocate,0.9143119066882668,6,4.973140640131992e-05
advocated,-0.7362547791161532,1,-6.674415548147523e-06
affable,-0.11498505946846746,4,-4.169524411874443e-06
affection,0.4795661175278224,2,8.694880201755461e-06
affectionate,-0.15865242585899897,1,-1.438241554337766e-06
affinity,0.19321089356344145,7,1.2260685839398876e-05
affirm,0.0,0,0.0
affirmation,0.0324463231024652,3,8.8241292092644e-07
affirmative,0.0,1,0.0
affluent,1.409481739223202,5,6.388730573942535e-05
afford,-0.11405218408491177,49,-5.066228827994449e-05
affordable,0.18742087188557355,963,0.0016361735076222221
affordably,0.13229628007324737,4,4.797254286039248e-06
affront,-0.2123632017881638,1,-1.9251491414029898e-06
afraid,0.18392292824397394,213,0.0003551408187468629
aggravate,-0.2757858804671663,0,-0.0
aggravating,-0.3676420497729517,2,-6.665615987180703e-06
aggravation,-1.1406026245574286,2,-2.0679949679220896e-05
aggression,-0.040888790737110034,0,-0.0
aggressive,-0.05824475485151324,47,-2.481645796411134e-05
