word,score,frequency,polarity
abnormal,-0.2725684423063889,5,-6.8154378364702875e-06
abolish,0.0,1,0.0
abominable,0.2287667252858492,4,4.576158214195539e-06
abominably,0.0,0,0.0
abomination,-0.02788967605183864,9,-1.255261369379227e-06
aborted,-0.516778039907846,0,-0.0
abound,-0.13422121066989628,17,-1.1410856861176196e-05
abounds,0.44548505715785724,10,2.2278262945223e-05
abrasive,0.014166764319988652,20,1.4169314796652047e-06
abrupt,-0.25604192113928076,34,-4.353496288699739e-05
abruptly,-0.15925385039438195,13,-1.035336388113343e-05
abscond,0.3133567148141812,2,3.1341312917743316e-06
absence,-0.13942853425439566,27,-1.8826240847696e-05
absentee,-1.147919284627201,2,-1.1481259472977146e-05
absurd,-0.45126617866900587,53,-0.00011960706661927801
absurdity,-0.9931699850339182,0,-0.0
absurdly,-0.05026938484724364,35,-8.79872611896905e-06
abundance,0.021392220720288853,130,1.3907446808613304e-05
abundant,0.058802749037231816,116,3.411173455381414e-05
abuse,-0.20678625855342087,9,-9.307056905146865e-06
abused,-0.3666079156879718,8,-1.4666956679721221e-05
abuses,0.0,0,0.0
abusive,-0.3731243019805222,3,-5.597872146694238e-06
abysmal,-0.5503106351618291,16,-4.403277671275462e-05
abysmally,-0.28692281799321595,0,-0.0
abyss,0.6733985162495204,2,6.7351974980448524e-06
accessable,0.2743873889023577,1,1.37218393762056e-06
accessible,0.03703889561317461,184,3.408191870948835e-05
accidental,-0.019411459141367583,10,-9.707476916528767e-07
acclaim,-0.6072076311119688,6,-1.8219508444879145e-05
acclaimed,-0.0742864589283016,19,-7.058484125331211e-06
accolade,0.3883973856500853,9,1.748102893946294e-05
accolades,0.06295337356065553,39,1.2278117905550828e-05
accommodative,0.9677595611505757,3,1.4519006838489564e-05
accomodative,0.20538919514732065,1,1.0271308592912757e-06
accomplish,0.03667504535590297,17,3.1179400844669565e-06
accomplished,0.440809135894334,45,9.919991156030601e-05
accomplishment,0.2789348964153415,14,1.9528957961506978e-05
accomplishments,-0.5313126389256091,2,-5.314082924182444e-06
accost,0.0,0,0.0
accurate,-0.08135882549456486,170,-6.916745181170624e-05
accurately,0.03856478201513538,36,6.942910486611958e-06
accursed,-0.3427870279603465,0,-0.0
accusation,-0.5276129279164472,0,-0.0
accusations,0.21396862754223858,2,2.140071488290278e-06
accuse,0.4881651339714707,4,9.765060390299668e-06
accuses,0.0,0,0.0
accusing,-0.11626844298818628,2,-1.1628937507569992e-06
ache,-0.38740406116510767,19,-3.681001161277553e-05
ached,-0.5976187655910257,0,-0.0
aches,0.010560431268965748,3,1.58434987332206e-07
achey,0.0,0,0.0
achievement,-0.047445657244641996,10,-2.372709950023104e-06
aching,-0.46421879673048605,3,-6.9645355673594155e-06
acrid,0.039428041462939344,1,1.97175698940506e-07
adamant,-0.02526414535009651,13,-1.6424650914727382e-06
adamantly,-0.42621618806750405,2,-4.262929207932468e-06
adaptable,0.8991612968981759,4,1.798646350139377e-05
adaptive,0.5377679268464518,1,2.689323712500509e-06
addict,0.48364910075223394,32,7.739778772214742e-05
addicted,0.4243592727162705,122,0.0002589057593936159
addicting,0.30002165411470766,113,0.00016954275227021846
addicts,0.33939556588057657,8,1.3578266723233245e-05
adequate,-0.3674034873560632,153,-0.00028111426839569955
adjustable,0.5387032644377838,4,1.0776004969650213e-05
admirable,0.5165723341841656,16,4.133322671554204e-05
admirably,1.0518935488181764,8,4.208331694977802e-05
admiration,-0.13605090625491625,6,-4.082261994806553e-06
admire,0.21208785791561865,49,5.197087994771716e-05
admirer,0.40728933410538815,1,2.0368132969203865e-06
admiring,-0.31164721324450473,12,-1.8702199190524577e-05
admonish,-0.9922456989287189,0,-0.0
admonishment,0.0,0,0.0
admonition,-0.28166278569485764,0,-0.0
adorable,0.10677890764752607,434,0.0002317519449452217
adore,0.09378406445738201,163,7.644777313193008e-05
adored,0.2332189706195671,47,5.48163250341044e-05
adoring,-0.13948124431765363,5,-3.487658886540918e-06
adulation,-0.5339357730443397,0,-0.0
adulterate,0.7651515343186903,1,3.826446431951203e-06
adulterated,0.7303465873968084,1,3.652390367250147e-06
advanced,-0.08864581657763591,29,-1.2855957476102906e-05
advantage,-0.13131974744298386,264,-0.00017337327381402521
advantageous,-0.1939879892058939,1,-9.701145666514667e-07
advantages,0.11571796717213528,7,4.050858005465719e-06
adventuresome,-0.3411287381142347,5,-8.529753808541406e-06
adventurous,0.1054268842939436,300,0.0001581687968243438
adversarial,0.0,0,0.0
adverse,-0.5413197048633036,4,-1.08283431990419e-05
adversity,0.47591962407240396,1,2.3800265251365443e-06
advocate,-0.03675333458737806,10,-1.8379975689313107e-06
advocated,-0.346291380405727,0,-0.0
advocates,0.0,1,0.0
affability,0.03679903606801547,1,1.8402830543505566e-07
affable,0.16998717293814786,24,2.0402133136542317e-05
affably,-2.7755575615628914e-17,0,-0.0
affectation,0.0,1,0.0
