word,score,frequency,polarity
abnormal,-0.25095790031081844,8,-1.3583832003725e-05
abolish,-0.3765384399503217,0,-0.0
abominable,-0.8819075488107101,0,-0.0
abominably,-0.32787381091545426,0,-0.0
abomination,-0.2028022871384857,1,-1.3721585348819719e-06
aborted,0.7702538371404165,2,1.042306170774187e-05
abound,-0.3970016967170946,8,-2.1488880592002307e-05
abounds,0.14158579839980923,2,1.9159365945386165e-06
abrasive,-0.6761831064538433,2,-9.150098194208897e-06
abrupt,-0.3681614641194837,10,-2.4909773076732006e-05
abruptly,-1.1026207047770478,3,-2.238096668649876e-05
absence,-0.41606781174376106,20,-5.630222489394458e-05
absentee,-0.23153276119002777,1,-1.566548675828007e-06
absurd,-0.32506335501277833,25,-5.498439678019633e-05
absurdity,-1.105743366279158,0,-0.0
absurdly,-0.34971457202371703,10,-2.3661657940142424e-05
abundance,-0.08918135028089505,103,-6.215022584156884e-05
abundant,0.0366556537958226,85,2.1081006323799517e-05
abuse,0.2712027027200507,10,1.8349551598807205e-05
abused,-0.14173251779667895,4,-3.83584399779913e-06
abusive,-0.802226135530578,1,-5.42785515047956e-06
abysmal,-0.7104833404087237,8,-3.845699348617566e-05
abysmally,0.44357542790292204,1,3.0012275396346502e-06
abyss,0.44890004784314463,3,9.11176161740642e-06
accessable,0.2925419168300553,2,3.95867219894796e-06
accessible,-0.024186946964296574,175,-2.863851823943423e-05
accidental,0.5377978830854155,11,4.002609449342732e-05
acclaim,0.36188872796666705,2,4.89707205735757e-06
acclaimed,-0.08205446421097559,12,-6.66215761060168e-06
accolade,-0.42949853757315276,3,-8.717950261298922e-06
accolades,0.09148078982332696,22,1.3617081260322825e-05
accomplish,0.3346742783754355,18,4.07592593320467e-05
accomplished,0.045916193802785915,22,6.834708613521768e-06
accomplishment,-0.21443965609906607,8,-1.1607174987432363e-05
accomplishments,-0.30111969418563783,2,-4.074746534941445e-06
accurate,0.029073252654806758,133,2.6162347278645847e-05
accurately,-0.029784100516344725,25,-5.037974214188407e-06
accusation,1.180235970714172,1,7.985466452280627e-06
accusations,-1.5019322909252864,0,-0.0
accuse,0.3716340447602026,3,7.543418275488219e-06
accuses,-0.2508209943280207,0,-0.0
accusing,-0.1040870677388368,1,-7.042522073291709e-07
ache,-0.7135001690145929,12,-5.793043226684472e-05
ached,-0.13688583977905167,0,-0.0
aches,-0.08263322586998381,7,-3.913669881120764e-06
achievable,-0.8054750676041946,0,-0.0
achievement,-0.7353162454928576,6,-2.985086045113699e-05
achievements,-0.4672276739893432,0,-0.0
aching,-0.2372811137582951,4,-6.421767919952776e-06
acrid,0.2009548578612559,2,2.7193176884836856e-06
acumen,-0.34574707052028786,1,-2.3393217128803355e-06
adamant,0.20155613584512894,12,1.6364725031066368e-05
adamantly,0.2562655084877879,1,1.7338902318555588e-06
adaptable,0.5732943069880535,2,7.757808725260876e-06
addict,0.21330498876488752,49,7.071776647505032e-05
addicted,0.5009543231501619,190,0.000643996003995526
addicting,0.41523080848734784,167,0.00046917783067015173
addicts,-0.38126554272433627,5,-1.2898196955450558e-05
adequate,-0.3179798528764491,123,-0.00026462822165254765
adjustable,0.3864059988225707,4,1.0457678691797473e-05
admirable,0.06554158044288536,12,5.3214452517261685e-06
admirably,0.7082017871711819,4,1.9166748864563306e-05
admiration,1.3043862513824356,6,5.295279711697461e-05
admire,-0.06273663026195928,18,-7.640559038114637e-06
admiring,0.7706192814982931,11,5.735403791987188e-05
admonish,0.3452353720498942,1,2.335859565419655e-06
admonition,0.22178236923649924,1,1.5005776075217476e-06
adorable,0.1193903361116015,283,0.00022860569912707361
adore,0.24092354682994538,107,0.00017441927164646448
adored,0.2345476732697165,38,6.0304006713549764e-05
adoring,0.0788631117411051,5,2.667935687259134e-06
adoringly,0.0,1,0.0
adroit,0.15166867729659278,1,1.0261889693811336e-06
adulterated,-0.2684744871206911,0,-0.0
advanced,-0.1229290162728119,25,-2.079341673649371e-05
advantage,0.04961475482400431,228,7.653800524954995e-05
advantageous,0.48221867772468296,1,3.2626874363975357e-06
advantages,-0.2807484380302595,5,-9.497707615470424e-06
adventuresome,0.24389768352204713,5,8.251048171221773e-06
adventurous,0.028466001589505092,440,8.474431791622511e-05
adversarial,0.0,0,0.0
adverse,-0.16334324155784774,5,-5.525894855067312e-06
adversity,0.6440396489742465,1,4.357566739565126e-06
advocate,0.29928422404349087,8,1.6199635937887706e-05
advocated,0.3871531874723322,1,2.6194751449433157e-06
advocates,-0.16116684074156817,2,-2.1809069235249215e-06
affable,0.1607730717955085,10,1.0877892244516739e-05
affectation,0.4220970380564692,2,5.711809876405218e-06
affection,-0.6625430096381453,7,-3.137932223350124e-05
affinity,0.39933428738638527,8,2.1615138899654137e-05
affirm,-0.4566246469861499,1,-3.0895184439989033e-06
affirmation,-1.045738098790004,0,-0.0
affirmative,0.8609078317423488,2,1.1649790007203735e-05
affliction,-1.3147489588563617,0,-0.0
affluent,0.006785300287422864,1,4.590928353173158e-08
afford,0.20044702271289327,160,0.0002169956537575808
affordable,0.17063854145510188,2085,0.0024072136221998095
affordably,1.1347066285634422,18,0.0001381934756501574
affront,-0.24598478633271992,0,-0.0
afordable,0.9121623789632277,2,1.234336566074274e-05
afraid,-0.043321896037126544,216,-6.331296461399569e-05
aggravate,-0.4226042362864143,0,-0.0
aggravating,-0.4607590119422601,3,-9.352474565466247e-06
aggravation,-0.6646935545542607,0,-0.0
aggression,0.0,0,0.0
aggressive,-0.37635388122173524,18,-4.583532836703632e-05
aghast,0.5096164080775275,1,3.4480602449121607e-06
agile,0.07082934793486734,1,4.792307604627081e-07
agility,0.0,1,0.0
agonize,0.9808179016901373,2,1.327241101625377e-05
agonizing,-0.016562458335415683,4,-4.482458040140106e-07
agonizingly,-0.49597791957961235,0,-0.0
agony,-0.02609023402273669,3,-5.295788986874658e-07
agreeable,0.2594785332107868,11,1.9311924825225338e-05
agreeably,0.0,0,0.0
