word,score,frequency,polarity
abnormal,-0.6689611318439224,1,-2.288611467136238e-05
abominable,-0.4601615862266146,0,-0.0
abomination,0.16940416937371083,1,5.795558309056135e-06
abound,0.336457471007507,1,1.1510690078943107e-05
abrasive,0.27177693190808566,3,2.7893629686084743e-05
abrupt,-0.6834245494454743,1,-2.338092882126152e-05
abruptly,-0.29612607742196356,0,-0.0
absence,0.8923168955106532,4,0.00012210973595766722
absurd,-0.46318024345357145,6,-9.507634145471874e-05
absurdity,-0.12377810774918327,0,-0.0
absurdly,0.7836524136089503,7,0.0001876690692871246
abundance,-0.22483063188958433,20,-0.0001538355332805914
abundant,-0.3000979089711017,23,-0.00023613588458211904
abuse,-0.571855869545684,1,-1.9564005116171194e-05
abusive,-0.6952391951903898,0,-0.0
abysmal,-0.637891662646414,4,-8.729273522359411e-05
abyss,-0.3612697085042229,0,-0.0
accessible,0.2539416982696395,54,0.00046913621986180415
accidental,0.19201032827309644,4,2.6275789021292704e-05
acclaim,0.0,1,0.0
acclaimed,0.0,1,0.0
accolades,0.0,2,0.0
accomplish,0.37548525774337466,2,2.569177268172252e-05
accomplished,-0.054662121409055325,2,-3.740138310575116e-06
accomplishment,0.2990924017432762,4,4.092951101515925e-05
accurate,0.125458457702448,20,8.584225638210607e-05
accurately,-0.20134705816823809,6,-4.133022062981281e-05
accusations,-0.24279361977277644,0,-0.0
accuse,-0.190327234194372,0,-0.0
accuses,0.0,0,0.0
accusing,-0.5972239188281729,0,-0.0
ache,-0.829960769467539,2,-5.678828391840842e-05
aches,-0.9869715015650962,0,-0.0
achievements,0.0,1,0.0
aching,0.0,1,0.0
acrid,0.0,0,0.0
acrimony,0.0,0,0.0
adamant,-0.6081087248649113,1,-2.0804267015563163e-05
adamantly,-0.5471203600241951,0,-0.0
adaptable,0.0,0,0.0
addict,-0.234370136302845,9,-7.216323047299367e-05
addicted,0.48807402647721704,71,0.0011855373205570444
addicting,0.3659527832041747,55,0.0006885871733229424
addicts,-0.9128227513833366,0,-0.0
adequate,-0.01781704402520349,27,-1.6457755343157516e-05
adjustable,0.0,1,0.0
admirable,0.0,0,0.0
admirably,0.09519395446785377,1,3.2567209876104606e-06
admiration,0.0,1,0.0
admire,0.7884346887003914,4,0.00010789390197747401
admiring,0.3566986638022009,1,1.2203170160869e-05
adorable,0.20586571646938762,55,0.0003873627918513965
adore,0.04633680453319244,21,3.329021194652895e-05
adored,0.8458619574186698,7,0.0002025670099873653
advanced,-0.18538501770056132,2,-1.2684571857718872e-05
advantage,-0.3473631312236946,29,-0.00034462985992087387
advantages,0.0,1,0.0
adventurous,0.26657495389495955,74,0.0006748733009998975
adversity,0.0,1,0.0
advocate,1.4402191606100674,4,0.00019708780849949606
advocated,0.0,0,0.0
affable,0.2943676953842384,2,2.0141477617806256e-05
affection,0.0,1,0.0
affinity,0.5912611512505447,1,2.022788748718935e-05
afford,0.08367542739773043,23,6.584108211248032e-05
affordable,0.2683650783784306,293,0.0026900775903140666
affordably,0.30650217536946567,4,4.194350672178798e-05
afraid,0.33174937856516173,54,0.0006128794540718007
aggravating,-0.8114342192403678,1,-2.7760322245650626e-05
aggravation,0.4959739707278149,2,3.3935954206487506e-05
aggression,-0.368945387917043,0,-0.0
aggressive,-0.12668506432420035,8,-3.467261425226147e-05
aghast,-0.19461757983911462,0,-0.0
agile,0.032342774300811006,1,1.1064924495658914e-06
agonizing,0.3116414413242251,3,3.198509490156262e-05
agonizingly,-0.7690998216587989,0,-0.0
agony,0.0,1,0.0
agreeable,-0.40908983262524223,3,-4.1986640365231837e-05
agreeably,-0.23676360864888624,1,-8.100020822746707e-06
aimless,0.0,0,0.0
alarm,-0.011520026216107704,3,-1.1823495945372258e-06
alarmed,0.6661784088475806,4,9.116365499111607e-05
alarming,-1.1468850967356983,1,-3.923657532451927e-05
alarmingly,0.2522437928773775,2,1.725924001897896e-05
allergic,0.260515499202295,18,0.0001604269239015159
allergies,-0.23758630453711826,24,-0.00019507599414611147
allergy,-0.12067215969688656,29,-0.00011972263534757818
alluring,0.0,2,0.0
aloof,-0.13039336785129813,2,-8.92188627104332e-06
amaze,0.7213389573803533,5,0.00012339017403016647
amazed,-0.037617802117382235,43,-5.5339223094335824e-05
amazement,-0.1696512569204695,1,-5.804011526529918e-06
amazes,0.7842739714302384,3,8.049339426242611e-05
amazing,0.35801598935378626,2273,0.027840244399629017
amazingly,0.12450235994996052,77,0.00032797405802760727
ambiguous,0.0,1,0.0
ambitious,0.02353095135855999,2,1.610054831239137e-06
ambitiously,0.0,1,0.0
ambivalent,0.4840113050480089,1,1.6558717244201467e-05
ambush,-0.1656099090246162,0,-0.0
ameliorate,0.0,0,0.0
amenable,0.42161485413692296,1,1.4424045642727436e-05
amenity,0.0,1,0.0
amiable,0.12977794299592005,2,8.879777146487858e-06
amicable,0.0,2,0.0
amicably,0.0,0,0.0
amiss,0.0,0,0.0
ample,0.13234986625372014,79,0.0003577023412262706
amuse,-0.017685738813936425,3,-1.8151630667741797e-06
amusing,0.690154003498101,11,0.000259722683492272
amusingly,0.1425048298075294,1,4.875293527455675e-06
anarchy,0.11694987314797206,1,4.00102200300965e-06
anemic,-0.16562825388385363,1,-5.666378853364818e-06
angel,0.0,2,0.0
anger,-0.12335663584969071,0,-0.0
angrily,0.0,0,0.0
angry,-0.1581363360501598,91,-0.0004923163387124374
animosity,0.0,1,0.0
annihilate,0.5359613268340607,1,1.833600160226003e-05
annoy,0.6530888286361876,2,4.468620106987257e-05
annoyance,0.1176784236975609,6,2.4155680540039874e-05
annoyances,0.0,0,0.0
annoyed,-0.2340001892232304,27,-0.00021614796815009308
annoying,-0.06860960191236043,78,-0.00018308412415888177
annoyingly,-0.6245945733257399,2,-4.273654282078275e-05
annoys,-0.5780090210866824,3,-5.9323539625728604e-05
antithetical,-0.6821127385450005,1,-2.3336049898905254e-05
anxiety,-0.9211612902582895,0,-0.0
anxious,0.6231304636208804,6,0.0001279090927719905
anxiously,0.6300121848676745,3,6.466084689028476e-05
apathetic,0.6503206236624168,2,4.449679258723345e-05
apathy,0.8512720795741544,1,2.912323228101794e-05
appalled,-0.05132700490426644,2,-3.5119401234530578e-06
appalling,-0.5961389076349414,0,-0.0
appallingly,0.0,0,0.0
