word,score,frequency,polarity
abnormal,-1.0825544258665682,1,-1.8178305109258602e-05
abominable,-0.03951010637809944,0,-0.0
abomination,-0.28244394747193236,0,-0.0
aborted,0.0,1,0.0
abound,0.11888313051651889,12,2.3955493790271134e-05
abounds,0.0,0,0.0
abrasive,-1.1998956966316856,1,-2.0148705276593323e-05
abrupt,0.288696107803227,8,3.878238954906328e-05
abruptly,-0.2364143655547296,3,-1.1909643616741483e-05
absence,-0.4049358930715013,9,-6.119732397977418e-05
absentee,-1.1284923708572265,0,-0.0
absurd,-0.45961604518446164,12,-9.261473237193613e-05
absurdity,0.0,0,0.0
absurdly,0.30433153976724486,10,5.110349606516068e-05
abundance,-0.3162019269543396,36,-0.0001911483975409092
abundant,0.09177386964331857,34,5.2396419396037604e-05
abuse,-1.0686695341233916,2,-3.5890298701081126e-05
abused,0.0,0,0.0
abusive,-1.6170999783785387,1,-2.715441930377718e-05
abysmal,-0.43533971529355786,3,-2.1930735254578746e-05
abyss,0.0,1,0.0
accessible,0.1509588458156182,72,0.00018251338156106443
accidental,-0.37862438372063634,1,-6.3578785552229365e-06
acclaim,0.0,2,0.0
acclaimed,-0.23648383393799774,0,-0.0
accolade,0.0,1,0.0
accolades,0.018409716590550032,15,4.6370524727675054e-06
accommodative,0.07059323788878173,1,1.185404988728871e-06
accomplish,-0.26165734703223925,4,-1.7575050176802743e-05
accomplished,-0.38082649257295736,6,-3.8369138827205535e-05
accomplishment,-0.40449102035638457,2,-1.3584464681501362e-05
accomplishments,-0.9471226734129768,1,-1.5904128717977177e-05
accurate,-0.18674024674885648,38,-0.00011915854003990708
accurately,-0.5183411316120933,11,-9.574409671770932e-05
accusation,-1.077076757448527,0,-0.0
accusations,-0.2226106984495918,0,-0.0
accuse,0.0,0,0.0
accusing,-0.8808652719031929,0,-0.0
acerbic,-0.46463446797290214,0,-0.0
ache,-0.5018264213358594,5,-4.213346498319615e-05
ached,0.5064013557199378,1,8.503515511148876e-06
aches,-0.0797588175901242,1,-1.339313836481129e-06
achievable,0.35493027286090717,1,5.960005925257039e-06
achievement,-0.3786766323828109,1,-6.3587559172288235e-06
aching,0.0,4,0.0
