word,score,frequency,polarity
abnormal,-0.5303870156027956,4,-2.3161005048157012e-05
abominable,-0.2709795994949571,0,-0.0
abominably,-0.2300419790286764,0,-0.0
abomination,-0.5110361707966216,3,-1.6736992493339135e-05
abound,0.20913631736818875,15,3.424721354282567e-05
abounds,0.8343074577544549,1,9.108160019153439e-06
abrasive,-1.1334335931846602,1,-1.2373729183238648e-05
abrupt,-0.7215260618627511,3,-2.363076621821237e-05
abruptly,-0.4930235233308872,1,-5.382352874791345e-06
absence,0.06149606558953774,10,6.713544278333814e-06
absentee,0.0,0,0.0
absurd,-0.42820408544733257,20,-9.349434180072765e-05
absurdity,0.634055395676456,1,6.922002136205851e-06
absurdly,-0.2651331638727951,16,-4.6311469672103954e-05
abundance,-0.10329652761917228,44,-4.9618419380388434e-05
abundant,-0.1432375931253179,46,-7.19315423991771e-05
abuse,-0.4683807983944407,8,-4.090661994711273e-05
abused,-0.2975110676481276,2,-6.495874839478769e-06
abusive,0.15397701474329084,1,1.6809717766734807e-06
abysmal,-0.5754731940557016,7,-4.397720915272829e-05
abysmally,0.0,1,0.0
abyss,0.6529667764400369,5,3.5642291290395025e-05
accessible,0.219250631400861,75,0.0001795174383740674
accidental,0.39276498576779356,4,1.715130942217439e-05
acclaim,0.7659580206827159,1,8.361987125357161e-06
acclaimed,0.010809188111212939,3,3.5401271106592597e-07
accolade,0.5763888336523527,1,6.292454515855379e-06
accolades,0.585012912098812,8,5.109283075098795e-05
accomplish,-0.17339180772788976,8,-1.5143389321213079e-05
accomplished,-0.06681027026557353,12,-8.752437152695223e-06
accomplishment,0.10709068113289005,3,3.5073367183260936e-06
accomplishments,0.0,0,0.0
accost,-0.08964776321394646,1,-9.786873713312933e-07
accurate,-0.04116623528736222,80,-3.595304391909364e-05
accurately,-0.0002910671202979026,16,-5.084141839264674e-08
accusation,0.0,0,0.0
accusations,0.0,0,0.0
accuse,-0.05355759538546098,0,-0.0
accuses,-0.5540076596039349,0,-0.0
accusing,-0.9667346761479718,0,-0.0
acerbic,0.0,1,0.0
ache,-0.16159550286033902,16,-2.8226288709229525e-05
ached,0.0,1,0.0
aches,-0.5061293793464724,4,-2.2101719622116698e-05
achievement,1.5629686752613456,4,6.825190721665265e-05
achievements,-0.012711647532276773,0,-0.0
aching,-1.0065931056081803,1,-1.0989007703146073e-05
acrid,0.0,0,0.0
acrimonious,0.0,0,0.0
adamant,0.18396009845351835,2,4.016596036103021e-06
adamantly,0.19589567324700755,2,4.277198105829859e-06
adaptable,0.0,0,0.0
addict,0.3203127627209602,25,8.74216055461136e-05
addicted,0.7743542244538643,134,0.0011327889309696267
addicting,0.343932728227858,126,0.00047309523751866927
addicts,-0.32123076792344296,3,-1.0520658338104027e-05
adequate,-0.19304608606989876,70,-0.00014752430158180036
adjustable,0.5811164158256851,2,1.2688131349905788e-05
admirable,0.0646258303012903,8,5.644177318889982e-06
admirably,0.2695847422346415,2,5.886129743114444e-06
admiration,-0.8047339800609346,1,-8.785305459180509e-06
admire,0.2862981139322857,14,4.375735365777292e-05
admirer,0.0,0,0.0
admiring,0.557754804395951,5,3.044513124432047e-05
admonishment,0.0,0,0.0
adorable,-0.010119238469278573,113,-1.2483340033061995e-05
adore,0.15248393273445643,73,0.0001215210380962371
adored,0.969592478004751,19,0.0002011163436909418
adoringly,-0.25784744232276785,1,-2.814928409637204e-06
adroit,0.0,1,0.0
adulteration,-0.2742640957132035,0,-0.0
advanced,0.058466167745301556,7,4.467938583156233e-06
advantage,-0.14433669219736472,80,-0.00012605824646058056
advantages,1.2986048944610968,2,2.8353818656355828e-05
adventuresome,-0.7757653917980103,2,-1.6938108991222934e-05
adventurous,0.049321305563773135,163,8.776607867789323e-05
adverse,-0.33421472543623965,1,-3.6486323737580747e-06
advocate,-0.027762289747339408,9,-2.727735892205837e-06
advocates,0.15678185089128605,1,1.711592258638494e-06
affable,-0.2899452304966925,2,-6.330681888574072e-06
affection,0.7926717139933517,2,1.7307242663610298e-05
affectionate,-0.12980445357042758,1,-1.4170791874500828e-06
affinity,0.2697834476648149,9,2.6507107303311505e-05
affirm,0.2555075711461148,1,2.7893839644772355e-06
affirmation,0.015852791516893366,1,1.7306540957307168e-07
affirmative,-0.3985359161635166,2,-8.701657558155384e-06
afflict,0.4234019383376501,1,4.622291903249455e-06
affliction,0.9011645486838834,4,3.9352163697986175e-05
affluent,-0.06966714863211876,1,-7.605583911803358e-07
afford,-0.14544737543308556,54,-8.57440859540024e-05
affordable,0.2683980528457354,969,0.002839276345060236
affordably,0.16603510953747397,9,1.6313493295166655e-05
affront,-0.7149698329602477,1,-7.805347521400084e-06
afraid,0.10388359969343125,126,0.00014289665460013467
aggravating,-0.24067876356651338,5,-1.3137487094241997e-05
aggravation,-0.5635846522752123,2,-1.2305341752733892e-05
aggression,0.0,0,0.0
aggressive,-0.2943337613373123,19,-6.105176272280495e-05
aggressiveness,-0.10463365613591308,0,-0.0
aggrieved,0.0,0,0.0
aghast,-0.4954698470127331,1,-5.40905946520451e-06
agile,0.3403642383783648,1,3.7157667945236333e-06
agonizing,0.0,1,0.0
agonizingly,-0.8220954325567843,0,-0.0
agony,0.0903466111298015,2,1.972633430781692e-06
agreeable,-0.007246844210699099,5,-3.9557009883728706e-07
agreeably,1.2735481990590127,1,1.3903364618548174e-05
ailment,0.9622013738393377,1,1.0504381810473118e-05
aimless,0.5740383564707909,2,1.2533588569231243e-05
alarm,-0.2738563274397049,8,-2.3917583182506977e-05
alarmed,-0.34843102002821347,3,-1.1411496289133629e-05
alarming,0.12909057748497246,6,8.455714682421778e-06
alarmingly,-0.29305507770868655,2,-6.398582482722414e-06
alienate,-0.8169872742316147,0,-0.0
alienated,0.6387335052851166,2,1.3946146403605166e-05
allegations,1.4201418471772755,2,3.100746391216759e-05
allege,-0.5906110151295068,1,-6.4477185057806415e-06
allergic,-0.0752519764839784,53,-4.3540990760380516e-05
allergies,-0.057070381573993516,147,-9.158674772245684e-05
allergy,0.037347554805014775,139,5.667369124341761e-05
alluring,0.5451994293039671,4,2.3807835340784592e-05
aloof,-0.03533371829486261,10,-3.857392826950066e-06
altercation,0.13239441377576672,2,2.890707724361719e-06
amaze,-0.18884422500662268,14,-2.8862654476994734e-05
amazed,0.08800874905320648,100,9.607942036376253e-05
amazement,0.17879530179672246,5,9.759568875366946e-06
amazes,0.5802353364671599,9,5.7010022141969856e-05
amazing,0.35927442929810155,9357,0.03670011828539668
amazingly,0.3578565349616096,252,0.0009844961442175286
ambiguous,-0.7194914375358745,1,-7.854710016767189e-06
ambitious,1.0100182044015416,14,0.00015436959455918757
ambitiously,1.2128128466262522,2,2.648062983900114e-05
ambivalent,-0.5941307141090654,2,-1.2972286334259068e-05
ambush,0.0,1,0.0
ameliorate,0.16371821904909004,1,1.7873168018459611e-06
amenable,-0.5152403167587489,1,-5.624894287759268e-06
amenity,0.0650361285727889,2,1.4200028072661332e-06
amiable,-0.20568104071574242,6,-1.3472557252122865e-05
amicable,-0.3279995443166904,3,-1.074234315447676e-05
amicably,0.29724897811349693,1,3.2450761802783508e-06
amiss,-0.49224339230383596,0,-0.0
ample,0.1293555200367665,168,0.00023724593194516128
amply,-0.6835686914571887,2,-1.4925080599501937e-05
amuse,0.21790308117275348,10,2.3788545979558242e-05
amusing,0.1302633504570635,19,2.701969059698915e-05
amusingly,0.0,2,0.0
anarchist,-0.18823152918049707,1,-2.0549293578656885e-06
anarchy,-0.5067459790952707,0,-0.0
anemic,-0.6985366712459569,0,-0.0
angel,-0.14865518965025404,15,-2.434309874185383e-05
angelic,0.19252851061946932,1,2.1018396355837262e-06
anger,-0.6280499700688467,2,-1.3712881442551237e-05
angrily,-0.36316582689281074,4,-1.5858769733310514e-05
angry,-0.37921931874511444,21,-8.69389267865437e-05
annihilate,-0.7053268689108245,1,-7.700074988109439e-06
annihilation,1.0827679523550526,1,1.1820610833570443e-05
annoy,-0.2402673810566343,4,-1.0492025373652153e-05
annoyance,0.1459323709766095,13,2.071092601196423e-05
annoyances,-0.24257488062285976,2,-5.2963947734248855e-06
annoyed,-0.33187046040239715,84,-0.0003043353567008882
annoying,-0.12181645213942091,200,-0.00026597478633061335
annoyingly,-0.0748855516913833,6,-4.905167141356985e-06
annoys,-0.16203794724831894,5,-8.844866116174613e-06
anomaly,0.16906322366426152,5,9.228341903071044e-06
antagonist,0.0,1,0.0
antiquated,0.7615251140848928,1,8.31359294852503e-06
antithetical,-0.45477812308371596,0,-0.0
anxieties,0.02605350370153041,2,5.688537926098342e-07
