word,score,frequency,polarity
abnormal,0.0,0,0.0
abominable,-0.5161500379703321,1,-2.677682288702698e-05
abomination,-0.3524293038108296,0,-0.0
aborted,0.0,0,0.0
abound,-0.616519706822371,1,-3.1983798859844935e-05
abrasive,-0.27764564838030964,2,-2.8807392444522683e-05
abrupt,-0.2636616672231829,2,-2.7356470971486088e-05
abruptly,0.36641066177425347,3,5.702593823006642e-05
absence,1.0737836350928847,7,0.0003899401040490866
absentee,-0.4322908954056957,0,-0.0
absurd,-1.1046992667491125,4,-0.0002292382790514863
absurdly,-0.14962084968101003,3,-2.3286083681418867e-05
abundance,-0.38862273622231414,6,-0.00012096578218167073
abundant,0.4933089826481177,13,0.0003326943750998926
abuse,1.035970398754131,2,0.00010748810943703373
abusive,-0.4867469987917612,1,-2.525145252084256e-05
abysmal,-0.2861427866600187,1,-1.4844510617348966e-05
abyss,0.0,1,0.0
accessible,0.10554369762698732,19,0.00010403248884170778
accidental,0.028351195077379467,2,2.941605631601937e-06
acclaim,0.7039431784901871,1,3.651915223543199e-05
acclaimed,0.0,0,0.0
accolades,0.08787461433540368,4,1.8235030988878124e-05
accomplished,0.0,3,0.0
accomplishment,0.4581595244909813,3,7.130517604653164e-05
accomplishments,-0.2229614348350121,1,-1.1566789522463794e-05
accurate,-0.2533384936445528,10,-0.0001314269006248977
accurately,0.029710360126090185,4,6.16525422828184e-06
accusations,0.0,0,0.0
accuses,0.24068756619769935,1,1.2486385463669815e-05
accusing,0.0,0,0.0
ache,0.2029118766769164,3,3.157997665650286e-05
achievement,0.10098396524418987,2,1.0477688861194219e-05
aching,0.024648612617193557,1,1.278720305934507e-06
acrid,0.0,0,0.0
adamant,0.0,0,0.0
adamantly,-0.12577948660701388,1,-6.525186065937636e-06
adaptable,-0.8254894640283019,1,-4.282472836834934e-05
addict,1.1107258448121144,2,0.00011524443295415173
addicted,0.26481660220089526,12,0.00016485781419437346
addicting,0.8780740794143989,21,0.0009566069551619825
addicts,-0.5566403446496795,2,-5.775475665591196e-05
adequate,-0.20666429521296792,14,-0.0001500985750664843
admirable,0.20932982525776744,3,3.2578827338312014e-05
admirably,0.6109988010851468,1,3.169738540595283e-05
admiration,0.0,1,0.0
admire,-0.49473378430067944,2,-5.1331581687142505e-05
admiring,-6.938893903907228e-18,2,-7.199516397496606e-22
adorable,0.08461299031462138,65,0.0002853208326649922
adore,0.019101267667268967,23,2.2791510497363887e-05
adored,0.1782007330118919,5,4.62234729746555e-05
advanced,-0.028569039005637578,6,-8.89262471642589e-06
