word,score,frequency,polarity
abnormal,0.5108328480450143,3,2.775712347421787e-05
abominable,0.0,0,0.0
abomination,0.19663305126954353,2,7.1229664838363196e-06
aborted,-0.9059520716735281,0,-0.0
abound,-0.6454397928095804,3,-3.50712607710192e-05
abounds,1.0142683919359228,2,3.674153309796681e-05
abrasive,0.03303291081373466,2,1.1966061405783144e-06
abrupt,-0.11554659571645061,8,-1.6742547060035225e-05
abruptly,-0.9441459123074583,1,-1.710068486909236e-05
absence,-0.3704338630033765,10,-6.709421365368794e-05
absurd,-0.23957594994725706,10,-4.339279309327074e-05
absurdity,-1.5509582741383376,0,-0.0
absurdly,0.7147562279279045,13,0.00016829673367739685
abundance,0.1762530078906407,35,0.0001117323590620062
abundant,0.01171111265996558,36,7.636160470898206e-06
abuse,1.0905035924184845,3,5.925469158782586e-05
abused,-0.6016092906099543,0,-0.0
abuses,0.0,0,0.0
abusive,0.18419404741216838,1,3.33618386575444e-06
abysmal,-0.7034507270397731,2,-2.548226719457257e-05
abysmally,0.1160915797227327,1,2.1026893141354564e-06
abyss,0.05640115729252676,2,2.0431130496649854e-06
accessable,0.0,1,0.0
accessible,-0.06225434894901716,50,-5.637857396987661e-05
accidental,0.7589718622971331,5,6.87337543512283e-05
acclaim,0.0,1,0.0
acclaimed,0.08109609689484576,4,5.875357946412545e-06
accolade,0.3056886071285036,1,5.536733751036996e-06
accolades,-0.6320600214945895,7,-8.013656971368254e-05
accomplish,-1.1766588801774875,3,-6.393611129181617e-05
accomplished,0.2822383828017812,11,5.623195035082852e-05
accomplishment,-0.5356956878303472,1,-9.70269851714961e-06
accomplishments,0.4959250030289621,2,1.7964717285648225e-05
accost,-0.7386630106911268,0,-0.0
accurate,-0.008758267760533402,90,-1.4276939349912267e-05
accurately,0.07597730071942752,21,2.8898649093622246e-05
accusation,1.0281895798654594,2,3.724582347233194e-05
accusations,0.25870188578565145,1,4.6856946221885394e-06
accuse,-0.15402692510877314,2,-5.5795738207521375e-06
accusing,0.0,0,0.0
accusingly,0.0,0,0.0
ache,-0.1926422791203239,9,-3.140280944164958e-05
aches,-0.5843665591337499,1,-1.0584241530378909e-05
achey,0.0,0,0.0
achievement,0.0,1,0.0
achievements,0.0,0,0.0
aching,-0.12247386505715138,2,-4.436574778835789e-06
acrid,-0.5569931354643309,0,-0.0
adamant,-0.28492897015541885,3,-1.5482184899137066e-05
adamantly,0.47424687121765285,1,8.589717107417957e-06
adaptable,0.18779106820091174,1,3.4013343029633904e-06
adaptive,0.0,1,0.0
addict,0.02036217605037223,8,2.950452054898079e-06
addicted,0.38401389833345584,103,0.0007164049107668029
addicting,0.08091962203509948,49,7.181651264639066e-05
addicts,0.0,1,0.0
adequate,-0.40785340682853355,52,-0.0003841331827911783
adjustable,0.1883475163942145,2,6.822825755527503e-06
admirable,0.4561681281531594,6,4.95736133907909e-05
admirably,0.4066258499496654,1,7.364942673555367e-06
admiration,-0.16957159326110616,3,-9.214011334395655e-06
admire,-0.16542524408711495,5,-1.4981185278940332e-05
admiring,0.087277496477899,3,4.742397156974099e-06
admonish,0.0,1,0.0
adorable,0.022186975795458374,135,5.425081473595625e-05
adore,0.1787842270515998,48,0.00015543357118104708
adored,0.5635716033708276,7,7.14531746136783e-05
advanced,0.3073045454808184,10,5.566002164076334e-05
advantage,0.008914465368543872,47,7.588702836781836e-06
advantages,-1.0373036633336428,0,-0.0
adventuresome,0.31084605131925097,2,1.1260294192072268e-05
adventurous,0.1094170364049423,159,0.0003151058446393984
adverse,0.1518585077983402,2,5.501023629289099e-06
advocate,-0.38865360389872033,3,-2.1118270121826467e-05
affable,0.3593711687560919,1,6.509050166743799e-06
