word,score,frequency,polarity
abnormal,-0.24895164290477928,1,-5.566025955346419e-06
abominable,-1.0793238004985035,0,-0.0
abomination,-0.7030307317621177,0,-0.0
abound,-0.7277999050007745,6,-9.763228989211544e-05
abounds,0.17205696824712394,1,3.846825591860039e-06
abrasive,-0.48104429295537204,1,-1.0755120910308585e-05
abrupt,-0.5196769132269802,6,-6.97131817327762e-05
abruptly,-0.5231930104868673,1,-1.1697476032080562e-05
absence,-0.24162294413452276,8,-4.3217375479602525e-05
absurd,-0.684853357170007,6,-9.18711324931259e-05
absurdly,-0.40195996202374684,4,-3.5947858074429036e-05
abundance,-0.017041412664010373,44,-1.6764418745197673e-05
abundant,0.1959282451934357,45,0.00019712413159175905
abuse,0.0,0,0.0
abused,-0.49909578489039275,1,-1.1158713638079744e-05
abuses,0.0,0,0.0
abusive,-0.6324221851187459,0,-0.0
abysmal,-0.37493571357382777,4,-3.353104063083397e-05
abysmally,-0.14444617398167986,0,-0.0
abyss,0.832645958567389,2,3.7232363385310393e-05
accessable,0.4350098383947792,1,9.725889024409846e-06
accessible,-0.0986450819926989,41,-9.042520986653823e-05
accidental,-0.5179140337860771,2,-2.3158898821118212e-05
acclaim,-0.9667033107254143,1,-2.161341719152669e-05
acclaimed,-0.7876080507011736,0,-0.0
accolades,-0.4128424219940128,3,-2.769081910215392e-05
accomplish,-0.8239042657170451,1,-1.842073614856899e-05
accomplished,-1.5930058361423076,1,-3.5616201313352286e-05
accomplishment,-0.17678837642751621,1,-3.952609753113695e-06
accurate,0.02193797467682005,43,2.109090507083556e-05
accurately,0.2698535462153192,9,5.430013003192418e-05
accursed,0.0,0,0.0
accusation,-0.2587403242851093,0,-0.0
accusations,0.0,0,0.0
accuse,-0.2587403242851097,0,-0.0
accusing,0.0,0,0.0
acerbic,0.3118719804150755,1,6.972790046617827e-06
ache,-0.7000560151096017,4,-6.260701724771182e-05
aches,-0.23975779537294023,2,-1.0720942400471313e-05
achievable,-0.9490785767444126,1,-2.121936585830511e-05
achievement,0.0996678928017983,2,4.456721568707863e-06
aching,0.5828541973057156,3,3.909411746634353e-05
acrid,0.0,1,0.0
adamant,-0.9800387188609075,0,-0.0
adamantly,-0.3301854396119148,1,-7.382239801728594e-06
addict,0.03566259044763732,29,2.312283683192439e-05
addicted,0.7734299875079458,105,0.0018156851272907706
addicting,0.5929517188198317,60,0.000795427887611284
addicts,0.8076006785440888,2,3.611244566119296e-05
adequate,-0.3885789796340257,32,-0.000278009420446013
admirable,-0.699820651449833,1,-1.5646492084195964e-05
admirably,0.0,1,0.0
admiration,-0.22961050400641117,0,-0.0
admire,1.5310896573463506,6,0.00020539132837163468
admiring,0.08135521912814368,1,1.81892859186048e-06
adorable,0.4928447479350282,53,0.0005840045529670332
adore,0.7283138783885872,35,0.0005699238881123382
adored,0.19718578053475633,7,3.086056439607607e-05
advanced,0.6539848619139049,4,5.8486807692347346e-05
advantage,-0.17030311816101365,29,-0.0001104207844628389
advantageous,0.0,1,0.0
advantages,-0.5665998670027769,2,-2.5335920898015824e-05
adventuresome,0.3616023929849466,1,8.084655643905172e-06
adventurous,0.13899634914837267,149,0.00046304147434675987
adverse,-0.012973799842694166,0,-0.0
adversity,0.0,1,0.0
advocate,-0.8990277827646944,2,-4.0200674436680055e-05
